data_captura,indice,indice_nome,codigo_ativo,nome_ativo,tipo_ativo,quantidade_teorica,participacao_pct,reducao_capital,segmento
2026-06-03,BDRX,BDRX,MMMC34,3M,DRN,20895848,0.159,,
2026-06-03,BDRX,BDRX,ABBV34,ABBVIE,DRN,283001920,0.760,,
2026-06-03,BDRX,BDRX,ADBE34,ADOBE INC,DRN,202100000,0.214,,
2026-06-03,BDRX,BDRX,A1AP34,ADVANCE AUTO,DRN,9652673,0.007,,
2026-06-03,BDRX,BDRX,A1MD34,ADVANCED MIC,DRN,130427120,1.707,,
2026-06-03,BDRX,BDRX,AIRB34,AIRBNB,DRN,84714660,0.116,,
2026-06-03,BDRX,BDRX,A1LB34,ALBEMARLE CO,DRN,28236144,0.041,,
2026-06-03,BDRX,BDRX,BABA34,ALIBABAGR,DRN,668475640,0.629,,
2026-06-03,BDRX,BDRX,GOGL34,ALPHABET,DRN,698640000,4.240,,
2026-06-03,BDRX,BDRX,GOGL35,ALPHABET,DRN,652560000,3.925,,
2026-06-03,BDRX,BDRX,AMZO34,AMAZON,DRN,2146984174,5.548,,
2026-06-03,BDRX,BDRX,AALL34,AMERICAN AIR,DRN,6603046,0.020,,
2026-06-03,BDRX,BDRX,AXPB34,AMERICAN EXP,DRN,6880000,0.043,,
2026-06-03,BDRX,BDRX,T1OW34,AMERICAN TOW,DRN,111928824,0.174,,
2026-06-03,BDRX,BDRX,AAPL34,APPLE,DRN,2936228000,9.273,,
2026-06-03,BDRX,BDRX,A1MT34,APPLIED MATE,DRN,79360990,0.781,,
2026-06-03,BDRX,BDRX,ARMT34,ARCELOR,DRN,15500000,0.112,,
2026-06-03,BDRX,BDRX,A1NE34,ARISTA NETWO,DRN,50261520,0.452,,
2026-06-03,BDRX,BDRX,ASML34,ASML HOLD,DRN,213481235,1.330,,
2026-06-03,BDRX,BDRX,A1ZN34,ASTRAZENECA,DRN,93059340,0.554,,
2026-06-03,BDRX,BDRX,ATTB34,ATT INC,DRN,71790000,0.118,,
2026-06-03,BDRX,BDRX,BIDU34,BAIDU INC,DRN,38465014,0.076,,
2026-06-03,BDRX,BDRX,BOAC34,BANK AMERICA,DRN ED,285828360,0.751,,
2026-06-03,BDRX,BDRX,BERK34,BERKSHIRE,DRN,21590000,0.102,,
2026-06-03,BDRX,BDRX,B2YN34,BEYOND MEAT,DRN,4635616,0.001,,
2026-06-03,BDRX,BDRX,B1IL34,BILIBILI INC,DRN,17266705,0.013,,
2026-06-03,BDRX,BDRX,B2HI34,BILL HOLD,DRN,178128792,0.008,,
2026-06-03,BDRX,BDRX,B1NT34,BIONTECH SE,DRN,41444400,0.047,,
2026-06-03,BDRX,BDRX,BLAK34,BLACKROCK,DRN ED,102540900,0.318,,
2026-06-03,BDRX,BDRX,X1YZ34,BLOCK INC.,DRN,134775750,0.081,,
2026-06-03,BDRX,BDRX,BKNG34,BOOKING,DRN ED,1385709062,0.269,,
2026-06-03,BDRX,BDRX,B1PP34,BP PLC,DRN,104672520,0.229,,
2026-06-03,BDRX,BDRX,B1TI34,BRITISH AMER,DRN,108587100,0.275,,
2026-06-03,BDRX,BDRX,AVGO34,BROADCOM INC,DRN,3314267600,4.601,,
2026-06-03,BDRX,BDRX,CATP34,CATERPILLAR,DRN,74445973,0.853,,
2026-06-03,BDRX,BDRX,CHVX34,CHEVRON,DRN,199538553,0.754,,
2026-06-03,BDRX,BDRX,CSCO34,CISCO,DRN,197494650,1.018,,
2026-06-03,BDRX,BDRX,CTGP34,CITIGROUP,DRN,102894420,0.452,,
2026-06-03,BDRX,BDRX,COCA34,COCA COLA,DRN,258043384,0.673,,
2026-06-03,BDRX,BDRX,C2OI34,COINBASEGLOB,DRN,55760325,0.078,,
2026-06-03,BDRX,BDRX,COLG34,COLGATE,DRN,56108361,0.143,,
