data_captura,indice,indice_nome,codigo_ativo,nome_ativo,tipo_ativo,quantidade_teorica,participacao_pct,reducao_capital,segmento
2026-06-03,IBXL,IBrX 50,ALOS3,ALLOS,ON      NM,478558715,0.555,,
2026-06-03,IBXL,IBrX 50,ABEV3,AMBEV S/A,ON,4273841357,2.950,,
2026-06-03,IBXL,IBrX 50,ASAI3,ASSAI,ON      NM,1338623499,0.508,,
2026-06-03,IBXL,IBrX 50,AXIA3,AXIA ENERGIA,ON      N1,1863816444,4.095,,
2026-06-03,IBXL,IBrX 50,B3SA3,B3,ON      NM,4997059816,3.414,,
2026-06-03,IBXL,IBrX 50,BBSE3,BBSEGURIDADE,ON      NM,616248544,0.909,,
2026-06-03,IBXL,IBrX 50,BBDC3,BRADESCO,ON  EJ  N1,1464429403,0.948,,
2026-06-03,IBXL,IBrX 50,BBDC4,BRADESCO,PN  EJ  N1,5100889966,3.800,,
2026-06-03,IBXL,IBrX 50,BBAS3,BRASIL,ON  EJ  NM,2842496541,2.373,,
2026-06-03,IBXL,IBrX 50,BRAV3,BRAVA,ON      NM,462883017,0.399,,
2026-06-03,IBXL,IBrX 50,BPAC11,BTGP BANCO,UNT     N2,1194624560,2.670,,
2026-06-03,IBXL,IBrX 50,CMIG4,CEMIG,PN      N1,1904057894,0.879,,
2026-06-03,IBXL,IBrX 50,COGN3,COGNA ON,ON      NM,1915914094,0.200,,
2026-06-03,IBXL,IBrX 50,CPLE3,COPEL,ON      NM,2969406694,1.826,,
2026-06-03,IBXL,IBrX 50,CSAN3,COSAN,ON  ATZ NM,2242671999,0.365,,
2026-06-03,IBXL,IBrX 50,CYRE3,CYRELA REALT,ON      NM,281609283,0.264,,
2026-06-03,IBXL,IBrX 50,EMBJ3,EMBRAER,ON      NM,711833141,2.149,,
2026-06-03,IBXL,IBrX 50,ENGI11,ENERGISA,UNT     N2,325503046,0.663,,
2026-06-03,IBXL,IBrX 50,ENEV3,ENEVA,ON      NM,1913352180,2.035,,
2026-06-03,IBXL,IBrX 50,EQTL3,EQUATORIAL,ON  ATZ NM,1247728993,2.046,,
2026-06-03,IBXL,IBrX 50,GGBR4,GERDAU,PN      N1,1258208269,1.302,,
2026-06-03,IBXL,IBrX 50,HAPV3,HAPVIDA,ON      NM,271662290,0.139,,
2026-06-03,IBXL,IBrX 50,ITSA4,ITAUSA,PN  EJ  N1,5970738360,3.232,,
2026-06-03,IBXL,IBrX 50,ITUB4,ITAUUNIBANCO,PN  EJ  N1,5349695485,8.881,,
2026-06-03,IBXL,IBrX 50,KLBN11,KLABIN S/A,UNT     N2,804572623,0.571,,
2026-06-03,IBXL,IBrX 50,RENT3,LOCALIZA,ON      NM,978479038,1.718,,
2026-06-03,IBXL,IBrX 50,LREN3,LOJAS RENNER,ON      NM,982593716,0.640,,
2026-06-03,IBXL,IBrX 50,MGLU3,MAGAZ LUIZA,ON      NM,373155063,0.089,,
2026-06-03,IBXL,IBrX 50,POMO4,MARCOPOLO,PN      N2,728266241,0.182,,
2026-06-03,IBXL,IBrX 50,MBRF3,MARFRIG,ON      NM,761175338,0.506,,
2026-06-03,IBXL,IBrX 50,BEEF3,MINERVA,ON      NM,454804863,0.067,,
