data_captura,data_referencia,codigo,nome_emissor,dt_repactuacao_vencimento,indice_correcao,tx_compra,tx_venda,tx_indicativa,desvio_padrao,intervalo_indicativo_min,intervalo_indicativo_max,pu,ratio_pu_par_vne,duration,pct_reune,ref_ntnb
2026-06-05,2026-06-03,AALM12,AURA ALMAS MINERACAO S.A. (*),2030-10-02,DI + 1.6%,0.8503,0.5404,0.6834,0.0541,0.6293,0.7376,1046.357089,102.0904,576.72,,
2026-06-05,2026-06-03,AALR13,CENTRO DE IMAGEM DIAGNOSTICOS S/A (*) (**),2027-10-04,DI + 2.75%,--,--,--,--,--,--,N/D,N/D,N/D,,
2026-06-05,2026-06-03,ABSP12,AGUAS DE BOMBINHAS SANEAMENTO SPE S.A. (*) (**),2026-10-15,DI + 1.95%,--,0.5814,1.5067,0.0058,1.5009,1.5127,1022.081298,100.1609,93,,
2026-06-05,2026-06-03,ACOV15,ACO VERDE DO BRASIL S/A (*),2032-06-10,DI + 1.1%,1.9176,1.3,1.614,0.0261,1.5879,1.6402,1058.290368,98.7218,637.52,,
2026-06-05,2026-06-03,ADPA21,AGUAS DO PARA A SPE S.A. (*),2027-11-27,DI + 2.85%,3.339,2.9114,3.075,0.1797,2.8953,3.2548,1105.867479,99.7234,319.3,,
2026-06-05,2026-06-03,AEGE16,EQUIPAV SANEAMENTO S.A. (*) (**),2034-03-11,DI + 3.9%,6.2532,4.6148,5.4905,0.4057,5.0847,5.8963,987.323013,94.9151,856.96,,
2026-06-05,2026-06-03,AEGE17,EQUIPAV SANEAMENTO S.A. (*) (**),2035-06-15,DI + 3.4%,6.5863,4.3717,5.4594,0.2661,5.1933,5.7255,1002.16274,92.6964,951.83,5,
2026-06-05,2026-06-03,AEGP17,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),2027-04-12,DI + 2.15%,3.4391,1.9824,2.6263,0.1834,2.4428,2.8098,339.397777,99.6244,203.86,,
2026-06-05,2026-06-03,AEGP19,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),2028-10-04,DI + 1.9%,3.8155,3,3.4329,0.077,3.3559,3.5099,1006.889815,98.2532,296.27,,
2026-06-05,2026-06-03,AEGPA4,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),2028-10-25,DI + 3.47%,4.3365,2.7006,3.4894,0.1949,3.2944,3.6844,1013.91553,99.9766,314.57,,
