data_captura,indice,indice_nome,codigo_ativo,nome_ativo,tipo_ativo,quantidade_teorica,participacao_pct,reducao_capital,segmento
2026-06-01,IBOV,Ibovespa,ALOS3,ALLOS,ON      NM,478558715,0.559,,
2026-06-01,IBOV,Ibovespa,ABEV3,AMBEV S/A,ON,4273841357,2.888,,
2026-06-01,IBOV,Ibovespa,ASAI3,ASSAI,ON      NM,1338623499,0.485,,
2026-06-01,IBOV,Ibovespa,AURE3,AUREN,ON      NM,317799925,0.163,,
2026-06-01,IBOV,Ibovespa,AXIA3,AXIA ENERGIA,ON      N1,1863816444,4.045,,
2026-06-01,IBOV,Ibovespa,AXIA6,AXIA ENERGIA,PNB     N1,266311915,0.628,,
2026-06-01,IBOV,Ibovespa,AZZA3,AZZAS 2154,ON      NM,109571260,0.087,,
2026-06-01,IBOV,Ibovespa,B3SA3,B3,ON      NM,4997059816,3.413,,
2026-06-01,IBOV,Ibovespa,BBSE3,BBSEGURIDADE,ON  ATZ NM,616248544,0.903,,
2026-06-01,IBOV,Ibovespa,BBDC3,BRADESCO,ON      N1,1464429403,0.940,,
2026-06-01,IBOV,Ibovespa,BBDC4,BRADESCO,PN      N1,5100889966,3.738,,
2026-06-01,IBOV,Ibovespa,BRAP4,BRADESPAR,PN      N1,250914708,0.242,,
2026-06-01,IBOV,Ibovespa,BBAS3,BRASIL,ON      NM,2842496541,2.389,,
2026-06-01,IBOV,Ibovespa,BRKM5,BRASKEM,PNA     N1,265709734,0.115,,
2026-06-01,IBOV,Ibovespa,BRAV3,BRAVA,ON      NM,462883017,0.388,,
2026-06-01,IBOV,Ibovespa,BPAC11,BTGP BANCO,UNT     N2,1194624560,2.658,,
2026-06-01,IBOV,Ibovespa,CXSE3,CAIXA SEGURI,ON      NM,600000000,0.440,,
2026-06-01,IBOV,Ibovespa,CEAB3,CEA MODAS,ON      NM,204964309,0.098,,
2026-06-01,IBOV,Ibovespa,CMIG4,CEMIG,PN      N1,1904057894,0.848,,
2026-06-01,IBOV,Ibovespa,COGN3,COGNA ON,ON      NM,1915914094,0.198,,
2026-06-01,IBOV,Ibovespa,CSMG3,COPASA,ON      NM,188467895,0.411,,
2026-06-01,IBOV,Ibovespa,CPLE3,COPEL,ON      NM,2969406694,1.790,,
2026-06-01,IBOV,Ibovespa,CSAN3,COSAN,ON  ATZ NM,2242671999,0.353,,
2026-06-01,IBOV,Ibovespa,CPFE3,CPFL ENERGIA,ON      NM,187732538,0.337,,
2026-06-01,IBOV,Ibovespa,CMIN3,CSNMINERACAO,ON      N2,1646519336,0.318,,
2026-06-01,IBOV,Ibovespa,CURY3,CURY S/A,ON      NM,160988231,0.211,,
2026-06-01,IBOV,Ibovespa,CYRE3,CYRELA REALT,ON      NM,281609283,0.263,,
2026-06-01,IBOV,Ibovespa,DIRR3,DIRECIONAL,ON      NM,327091595,0.181,,
2026-06-01,IBOV,Ibovespa,EMBJ3,EMBRAER,ON      NM,711833141,2.162,,
2026-06-01,IBOV,Ibovespa,ENGI11,ENERGISA,UNT     N2,325503046,0.647,,
2026-06-01,IBOV,Ibovespa,ENEV3,ENEVA,ON      NM,1913352180,2.030,,
2026-06-01,IBOV,Ibovespa,EGIE3,ENGIE BRASIL,ON      NM,357310487,0.490,,
2026-06-01,IBOV,Ibovespa,EQTL3,EQUATORIAL,ON  ATZ NM,1247728993,1.991,,
2026-06-01,IBOV,Ibovespa,FLRY3,FLEURY,ON      NM,447150822,0.285,,
2026-06-01,IBOV,Ibovespa,GGBR4,GERDAU,PN      N1,1258208269,1.186,,
2026-06-01,IBOV,Ibovespa,GOAU4,GERDAU MET,PN      N1,830837767,0.337,,
2026-06-01,IBOV,Ibovespa,HAPV3,HAPVIDA,ON      NM,271662290,0.137,,
2026-06-01,IBOV,Ibovespa,HYPE3,HYPERA,ON      NM,321083946,0.291,,
2026-06-01,IBOV,Ibovespa,IGTI11,IGUATEMI S.A,UNT     N1,205800982,0.221,,
2026-06-01,IBOV,Ibovespa,ISAE4,ISA ENERGIA,PN      N1,415568772,0.465,,
2026-06-01,IBOV,Ibovespa,ITSA4,ITAUSA,PN  EJ  N1,5970738360,3.189,,
2026-06-01,IBOV,Ibovespa,ITUB4,ITAUUNIBANCO,PN  EJ  N1,5050269111,8.368,,
2026-06-01,IBOV,Ibovespa,KLBN11,KLABIN S/A,UNT     N2,804572623,0.555,,
2026-06-01,IBOV,Ibovespa,RENT3,LOCALIZA,ON      NM,978479038,1.702,,
2026-06-01,IBOV,Ibovespa,LREN3,LOJAS RENNER,ON      NM,982593716,0.607,,
2026-06-01,IBOV,Ibovespa,MGLU3,MAGAZ LUIZA,ON      NM,373155063,0.092,,
2026-06-01,IBOV,Ibovespa,POMO4,MARCOPOLO,PN      N2,728266241,0.183,,
2026-06-01,IBOV,Ibovespa,MBRF3,MARFRIG,ON      NM,761175338,0.505,,
2026-06-01,IBOV,Ibovespa,BEEF3,MINERVA,ON      NM,454804863,0.069,,
2026-06-01,IBOV,Ibovespa,MOTV3,MOTIVA SA,ON      NM,1002196725,0.585,,
2026-06-01,IBOV,Ibovespa,MRVE3,MRV,ON      NM,374681353,0.091,,
2026-06-01,IBOV,Ibovespa,MULT3,MULTIPLAN,ON      N2,320022221,0.395,,
2026-06-01,IBOV,Ibovespa,NATU3,NATURA,ON      NM,838359453,0.345,,
2026-06-01,IBOV,Ibovespa,PETR3,PETROBRAS,ON      N2,2237877167,4.329,,
2026-06-01,IBOV,Ibovespa,PETR4,PETROBRAS,PN  ATZ N2,4410960450,7.670,,
2026-06-01,IBOV,Ibovespa,RECV3,PETRORECSA,ON      NM,274624898,0.129,,
2026-06-01,IBOV,Ibovespa,PSSA3,PORTO SEGURO,ON      NM,178825403,0.358,,
2026-06-01,IBOV,Ibovespa,PRIO3,PRIO,ON      NM,757265605,1.952,,
2026-06-01,IBOV,Ibovespa,RADL3,RAIADROGASIL,ON      NM,1313915830,1.017,,
2026-06-01,IBOV,Ibovespa,RDOR3,REDE D OR,ON      NM,1091469308,1.537,,
2026-06-01,IBOV,Ibovespa,RAIL3,RUMO S.A.,ON      NM,1221155293,0.693,,
2026-06-01,IBOV,Ibovespa,SBSP3,SABESP,ON      NM,2870627990,3.322,,
