data_captura,titulo,data_referencia,codigo_selic,data_base_emissao,data_vencimento,tx_compra,tx_venda,tx_indicativa,pu,desvio_padrao,interv_ind_inf_d0,interv_ind_sup_d0,interv_ind_inf_dma1,interv_ind_sup_dma1,criterio
2026-06-01,LTN,2026-05-29,100000,2023-01-06,2026-07-01,14.3794,14.3532,14.3671,988.348757,0.00317966886798,14.2545,14.5377,14.2515,14.5371,Calculado
2026-06-01,LTN,2026-05-29,100000,2024-07-05,2026-10-01,13.9674,13.9501,13.9601,955.887459,0.00461426018447,13.8066,14.1475,13.8132,14.1519,Calculado
2026-06-01,LTN,2026-05-29,100000,2025-01-10,2027-04-01,13.8511,13.832,13.8393,898.076229,0.00546873466261,13.4768,14.1875,13.5159,14.2246,Calculado
2026-06-01,LTN,2026-05-29,100000,2023-07-07,2027-07-01,13.8664,13.8543,13.86,869.270451,0.00326606689613,13.4018,14.2436,13.4641,14.3038,Calculado
2026-06-01,LTN,2026-05-29,100000,2025-07-04,2027-10-01,13.8841,13.8729,13.8792,840.459526,0.00050542804631,13.3769,14.3046,13.4356,14.3624,Calculado
2026-06-01,LTN,2026-05-29,100000,2024-01-05,2028-01-01,13.8167,13.8034,13.8106,814.368732,0.00104543826695,13.2786,14.2539,13.3424,14.3173,Calculado
2026-06-01,LTN,2026-05-29,100000,2026-01-09,2028-04-01,13.8106,13.7956,13.8047,788.527381,0.00318258126683,13.2679,14.2645,13.3222,14.3187,Calculado
2026-06-01,LTN,2026-05-29,100000,2024-07-05,2028-07-01,13.8042,13.7893,13.7959,764.350012,0.00159931532538,13.2587,14.2616,13.3068,14.3097,Calculado
2026-06-01,LTN,2026-05-29,100000,2022-02-11,2029-01-01,13.8846,13.8736,13.8795,715.903186,0,13.3536,14.3899,13.3893,14.4255,Calculado
2026-06-01,LTN,2026-05-29,100000,2025-07-04,2029-07-01,13.9374,13.925,13.9321,670.602417,0.00023440360492,13.4296,14.4696,13.4437,14.4837,Calculado
2026-06-01,LTN,2026-05-29,100000,2024-01-05,2030-01-01,13.9521,13.9426,13.9481,628.274987,0.00083613563493,13.4687,14.4967,13.4725,14.5007,Calculado
2026-06-01,LTN,2026-05-29,100000,2025-01-10,2032-01-01,14.0539,14.0432,14.0485,481.514238,0.00084676887638,13.6009,14.6045,13.5878,14.5914,Calculado
2026-06-01,NTN-C,2026-05-29,770100,2000-07-01,2031-01-01,8.3716,7.94,8.0953,7967.297248,0.2004684829759,7.5698,8.6175,7.5051,8.5572,Calculado
2026-06-01,LFT,2026-05-29,210100,2000-07-01,2026-09-01,0.0078,0.003,0.0054,19109.552663,0.00066530067639,-0.0444,0.038,-0.0445,0.0372,Calculado
2026-06-01,LFT,2026-05-29,210100,2000-07-01,2027-03-01,0.0107,0.0079,0.0088,19108.578061,0.00018073920438,-0.0201,0.0337,-0.0198,0.0333,Calculado
2026-06-01,LFT,2026-05-29,210100,2000-07-01,2027-09-01,0.012,0.0093,0.0103,19107.355031,0.00040817307604,-0.0116,0.0412,-0.011,0.0406,Calculado
2026-06-01,LFT,2026-05-29,210100,2000-07-01,2028-03-01,0.0198,0.0185,0.019,19103.494844,0.00008280784987,-0.0029,0.0539,-0.0023,0.0535,Calculado
2026-06-01,LFT,2026-05-29,210100,2000-07-01,2028-09-01,0.032,0.0306,0.031,19096.481533,0.00016647044783,0.0207,0.0487,0.0207,0.0486,Calculado
2026-06-01,LFT,2026-05-29,210100,2000-07-01,2029-03-01,0.0466,0.0443,0.0456,19086.06667,0.00039659262474,0.024,0.0594,0.0241,0.0592,Calculado
2026-06-01,LFT,2026-05-29,210100,2000-07-01,2029-09-01,0.0565,0.0546,0.0557,19075.36516,0.00038862103649,0.0322,0.0675,0.032,0.0673,Calculado
