data_captura,data_referencia,estrategia_coleta,indice,mes_referencia,tipo_projecao,valor_pct,observacao,data_divulgacao,num_instituicoes
2026-06-01,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,0.40,Var % mês fechado,,
2026-06-01,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,0.40,Projeção ANBIMA corrente,,
2026-06-01,2026-05-01,scraping_indicadores,IPCA,mai/26,fechado,0.50,Var % mês fechado,,
2026-06-01,2026-05-01,scraping_indicadores,IPCA,mai/26,corrente,0.50,Projeção ANBIMA corrente,,
2026-06-02,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,0.40,Var % mês fechado,,
2026-06-02,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,0.40,Projeção ANBIMA corrente,,
2026-06-02,2026-05-01,scraping_indicadores,IPCA,mai/26,fechado,0.50,Var % mês fechado,,
2026-06-02,2026-05-01,scraping_indicadores,IPCA,mai/26,corrente,0.50,Projeção ANBIMA corrente,,
2026-06-03,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,0.40,Var % mês fechado,,
2026-06-03,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,0.40,Projeção ANBIMA corrente,,
2026-06-03,2026-05-01,scraping_indicadores,IPCA,mai/26,fechado,0.50,Var % mês fechado,,
2026-06-03,2026-05-01,scraping_indicadores,IPCA,mai/26,corrente,0.50,Projeção ANBIMA corrente,,
2026-06-04,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,0.40,Var % mês fechado,,
2026-06-04,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,0.40,Projeção ANBIMA corrente,,
2026-06-04,2026-05-01,scraping_indicadores,IPCA,mai/26,fechado,0.50,Var % mês fechado,,
2026-06-04,2026-05-01,scraping_indicadores,IPCA,mai/26,corrente,0.50,Projeção ANBIMA corrente,,
2026-06-05,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,0.40,Var % mês fechado,,
2026-06-05,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,0.40,Projeção ANBIMA corrente,,
2026-06-05,2026-05-01,scraping_indicadores,IPCA,mai/26,fechado,0.50,Var % mês fechado,,
2026-06-05,2026-05-01,scraping_indicadores,IPCA,mai/26,corrente,0.50,Projeção ANBIMA corrente,,
2026-06-06,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,0.40,Var % mês fechado,,
2026-06-06,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,0.40,Projeção ANBIMA corrente,,
2026-06-06,2026-05-01,scraping_indicadores,IPCA,mai/26,fechado,0.50,Var % mês fechado,,
2026-06-06,2026-05-01,scraping_indicadores,IPCA,mai/26,corrente,0.50,Projeção ANBIMA corrente,,
2026-06-08,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,0.40,Var % mês fechado,,
2026-06-08,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,0.40,Projeção ANBIMA corrente,,
2026-06-08,2026-05-01,scraping_indicadores,IPCA,mai/26,fechado,0.50,Var % mês fechado,,
2026-06-08,2026-05-01,scraping_indicadores,IPCA,mai/26,corrente,0.50,Projeção ANBIMA corrente,,
2026-06-09,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,0.40,Var % mês fechado,,
2026-06-09,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,0.40,Projeção ANBIMA corrente,,
2026-06-09,2026-05-01,scraping_indicadores,IPCA,mai/26,fechado,0.50,Var % mês fechado,,
2026-06-09,2026-05-01,scraping_indicadores,IPCA,mai/26,corrente,0.50,Projeção ANBIMA corrente,,
2026-06-10,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,0.40,Var % mês fechado,,
2026-06-10,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,0.40,Projeção ANBIMA corrente,,
2026-06-10,2026-05-01,scraping_indicadores,IPCA,mai/26,fechado,0.50,Var % mês fechado,,
2026-06-10,2026-05-01,scraping_indicadores,IPCA,mai/26,corrente,0.50,Projeção ANBIMA corrente,,
2026-06-11,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,0.40,Var % mês fechado,,
2026-06-11,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,0.40,Projeção ANBIMA corrente,,
2026-06-11,2026-05-01,scraping_indicadores,IPCA,mai/26,fechado,0.50,Var % mês fechado,,
2026-06-11,2026-05-01,scraping_indicadores,IPCA,mai/26,corrente,0.50,Projeção ANBIMA corrente,,
2026-06-12,2026-05-01,scraping_indicadores,IPCA,mai/26,fechado,0.50,Var % mês fechado,,
2026-06-12,2026-05-01,scraping_indicadores,IPCA,mai/26,corrente,0.50,Projeção ANBIMA corrente,,
2026-06-12,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,0.41,Var % mês fechado,,
2026-06-12,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,0.41,Projeção ANBIMA corrente,,
2026-06-12,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.34,Var % mês fechado,,
2026-06-12,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.34,Projeção ANBIMA corrente,,
2026-06-13,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,0.41,Var % mês fechado,,
2026-06-13,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,0.41,Projeção ANBIMA corrente,,
2026-06-13,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.34,Var % mês fechado,,
2026-06-13,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.34,Projeção ANBIMA corrente,,
2026-06-15,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,0.41,Var % mês fechado,,
2026-06-15,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,0.41,Projeção ANBIMA corrente,,
2026-06-15,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.34,Var % mês fechado,,
2026-06-15,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.34,Projeção ANBIMA corrente,,
2026-06-16,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,0.41,Var % mês fechado,,
2026-06-16,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,0.41,Projeção ANBIMA corrente,,
2026-06-16,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.34,Var % mês fechado,,
2026-06-16,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.34,Projeção ANBIMA corrente,,
2026-06-17,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,0.41,Var % mês fechado,,
2026-06-17,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,0.41,Projeção ANBIMA corrente,,
2026-06-17,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.34,Var % mês fechado,,
2026-06-17,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.34,Projeção ANBIMA corrente,,
2026-06-18,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,0.41,Var % mês fechado,,
2026-06-18,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,0.41,Projeção ANBIMA corrente,,
2026-06-18,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.34,Var % mês fechado,,
2026-06-18,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.34,Projeção ANBIMA corrente,,
2026-06-19,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,-0.40,Var % mês fechado,,
2026-06-19,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,-0.40,Projeção ANBIMA corrente,,
2026-06-19,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.34,Var % mês fechado,,
2026-06-19,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.34,Projeção ANBIMA corrente,,
2026-06-20,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,-0.40,Var % mês fechado,,
2026-06-20,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,-0.40,Projeção ANBIMA corrente,,
2026-06-20,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.34,Var % mês fechado,,
2026-06-20,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.34,Projeção ANBIMA corrente,,
2026-06-22,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,-0.40,Var % mês fechado,,
2026-06-22,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,-0.40,Projeção ANBIMA corrente,,
2026-06-22,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.34,Var % mês fechado,,
2026-06-22,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.34,Projeção ANBIMA corrente,,
2026-06-23,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,-0.40,Var % mês fechado,,
2026-06-23,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,-0.40,Projeção ANBIMA corrente,,
2026-06-23,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.34,Var % mês fechado,,
2026-06-23,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.34,Projeção ANBIMA corrente,,
2026-06-24,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,-0.40,Var % mês fechado,,
2026-06-24,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,-0.40,Projeção ANBIMA corrente,,
2026-06-24,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.34,Var % mês fechado,,
2026-06-24,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.34,Projeção ANBIMA corrente,,
2026-06-25,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,-0.40,Var % mês fechado,,
2026-06-25,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,-0.40,Projeção ANBIMA corrente,,
2026-06-25,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.34,Var % mês fechado,,
2026-06-25,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.34,Projeção ANBIMA corrente,,
2026-06-26,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,-0.40,Var % mês fechado,,
2026-06-26,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,-0.40,Projeção ANBIMA corrente,,
2026-06-26,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.33,Var % mês fechado,,
2026-06-26,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.33,Projeção ANBIMA corrente,,
2026-06-27,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,-0.40,Var % mês fechado,,
2026-06-27,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,-0.40,Projeção ANBIMA corrente,,
2026-06-27,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.33,Var % mês fechado,,
2026-06-27,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.33,Projeção ANBIMA corrente,,
2026-06-28,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,-0.40,Var % mês fechado,,
2026-06-28,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,-0.40,Projeção ANBIMA corrente,,
2026-06-28,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.33,Var % mês fechado,,
2026-06-28,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.33,Projeção ANBIMA corrente,,
2026-06-29,2026-06-01,scraping_indicadores,IGP-M,jun/26,fechado,-0.40,Var % mês fechado,,
2026-06-29,2026-06-01,scraping_indicadores,IGP-M,jun/26,corrente,-0.40,Projeção ANBIMA corrente,,
2026-06-29,2026-07-01,scraping_indicadores,IGP-M,jul/26,fechado,-0.26,Var % mês fechado,,
2026-06-29,2026-07-01,scraping_indicadores,IGP-M,jul/26,corrente,-0.26,Projeção ANBIMA corrente,,
2026-06-29,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.33,Var % mês fechado,,
2026-06-29,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.33,Projeção ANBIMA corrente,,
2026-06-30,2026-07-01,scraping_indicadores,IGP-M,jul/26,fechado,-0.26,Var % mês fechado,,
2026-06-30,2026-07-01,scraping_indicadores,IGP-M,jul/26,corrente,-0.26,Projeção ANBIMA corrente,,
2026-06-30,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.33,Var % mês fechado,,
2026-06-30,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.33,Projeção ANBIMA corrente,,
2026-07-01,2026-07-01,scraping_indicadores,IGP-M,jul/26,fechado,-0.26,Var % mês fechado,,
2026-07-01,2026-07-01,scraping_indicadores,IGP-M,jul/26,corrente,-0.26,Projeção ANBIMA corrente,,
2026-07-01,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.33,Var % mês fechado,,
2026-07-01,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.33,Projeção ANBIMA corrente,,
2026-07-02,2026-07-01,scraping_indicadores,IGP-M,jul/26,fechado,-0.26,Var % mês fechado,,
2026-07-02,2026-07-01,scraping_indicadores,IGP-M,jul/26,corrente,-0.26,Projeção ANBIMA corrente,,
2026-07-02,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.33,Var % mês fechado,,
2026-07-02,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.33,Projeção ANBIMA corrente,,
2026-07-03,2026-07-01,scraping_indicadores,IGP-M,jul/26,fechado,-0.26,Var % mês fechado,,
2026-07-03,2026-07-01,scraping_indicadores,IGP-M,jul/26,corrente,-0.26,Projeção ANBIMA corrente,,
2026-07-03,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.33,Var % mês fechado,,
2026-07-03,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.33,Projeção ANBIMA corrente,,
2026-07-04,2026-07-01,scraping_indicadores,IGP-M,jul/26,fechado,-0.26,Var % mês fechado,,
2026-07-04,2026-07-01,scraping_indicadores,IGP-M,jul/26,corrente,-0.26,Projeção ANBIMA corrente,,
2026-07-04,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.33,Var % mês fechado,,
2026-07-04,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.33,Projeção ANBIMA corrente,,
2026-07-06,2026-07-01,scraping_indicadores,IGP-M,jul/26,fechado,-0.26,Var % mês fechado,,
2026-07-06,2026-07-01,scraping_indicadores,IGP-M,jul/26,corrente,-0.26,Projeção ANBIMA corrente,,
2026-07-06,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.33,Var % mês fechado,,
2026-07-06,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.33,Projeção ANBIMA corrente,,
2026-07-07,2026-07-01,scraping_indicadores,IGP-M,jul/26,fechado,-0.26,Var % mês fechado,,
2026-07-07,2026-07-01,scraping_indicadores,IGP-M,jul/26,corrente,-0.26,Projeção ANBIMA corrente,,
2026-07-07,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.33,Var % mês fechado,,
2026-07-07,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.33,Projeção ANBIMA corrente,,
2026-07-08,2026-07-01,scraping_indicadores,IGP-M,jul/26,fechado,-0.26,Var % mês fechado,,
2026-07-08,2026-07-01,scraping_indicadores,IGP-M,jul/26,corrente,-0.26,Projeção ANBIMA corrente,,
2026-07-08,2026-06-01,scraping_indicadores,IPCA,jun/26,fechado,0.33,Var % mês fechado,,
2026-07-08,2026-06-01,scraping_indicadores,IPCA,jun/26,corrente,0.33,Projeção ANBIMA corrente,,
2026-07-09,2026-07-01,scraping_indicadores,IGP-M,jul/26,fechado,-0.71,Var % mês fechado,,
