data_captura,indice,indice_nome,codigo_ativo,nome_ativo,tipo_ativo,quantidade_teorica,participacao_pct,reducao_capital,segmento
2026-06-03,IBSD,IBSD,BBSE3,BBSEGURIDADE,ON      NM,1791598595,6.731,,
2026-06-03,IBSD,IBSD,BBDC4,BRADESCO,PN  EJ  N1,2920065718,5.543,,
2026-06-03,IBSD,IBSD,BRAP4,BRADESPAR,PN      N1,2107691594,5.322,,
2026-06-03,IBSD,IBSD,BBAS3,BRASIL,ON  EJ  NM,2586290917,5.502,,
2026-06-03,IBSD,IBSD,CMIG4,CEMIG,PN      N1,4632523939,5.450,,
2026-06-03,IBSD,IBSD,CSMG3,COPASA,ON      NM,985606457,5.580,,
2026-06-03,IBSD,IBSD,CPLE3,COPEL,ON      NM,3233534262,5.066,,
2026-06-03,IBSD,IBSD,CPFE3,CPFL ENERGIA,ON      NM,1089183119,5.068,,
2026-06-03,IBSD,IBSD,CMIN3,CSNMINERACAO,ON      N2,11069884484,5.659,,
2026-06-03,IBSD,IBSD,CURY3,CURY S/A,ON      NM,1229288838,4.119,,
2026-06-03,IBSD,IBSD,DIRR3,DIRECIONAL,ON      NM,3122578062,4.458,,
2026-06-03,IBSD,IBSD,GOAU4,GERDAU MET,PN      N1,5156606874,5.829,,
2026-06-03,IBSD,IBSD,ISAE4,ISA ENERGIA,PN      N1,1774129556,5.218,,
2026-06-03,IBSD,IBSD,ITSA4,ITAUSA,PN  EJ  N1,3833307725,5.289,,
2026-06-03,IBSD,IBSD,POMO4,MARCOPOLO,PN      N2,7039102787,4.479,,
2026-06-03,IBSD,IBSD,MBRF3,MARFRIG,ON      NM,2444476759,4.144,,
2026-06-03,IBSD,IBSD,PETR4,PETROBRAS,PN  EX  N2,1086785387,4.832,,
2026-06-03,IBSD,IBSD,TAEE11,TAESA,UNT     N2,1374800337,5.771,,
2026-06-03,IBSD,IBSD,VALE3,VALE,ON      NM,653379561,5.940,,
2026-06-04,IBSD,IBSD,BBSE3,BBSEGURIDADE,ON      NM,1791598595,6.821,,
2026-06-04,IBSD,IBSD,BBDC4,BRADESCO,PN  EJ  N1,2920065718,5.511,,
2026-06-04,IBSD,IBSD,BRAP4,BRADESPAR,PN      N1,2107691594,5.217,,
2026-06-04,IBSD,IBSD,BBAS3,BRASIL,ON  EJ  NM,2586290917,5.488,,
2026-06-04,IBSD,IBSD,CMIG4,CEMIG,PN      N1,4632523939,5.466,,
2026-06-04,IBSD,IBSD,CSMG3,COPASA,ON      NM,985606457,6.425,,
2026-06-04,IBSD,IBSD,CPLE3,COPEL,ON      NM,3233534262,5.063,,
2026-06-04,IBSD,IBSD,CPFE3,CPFL ENERGIA,ON      NM,1089183119,5.124,,
2026-06-04,IBSD,IBSD,CMIN3,CSNMINERACAO,ON      N2,11069884484,5.413,,
2026-06-04,IBSD,IBSD,CURY3,CURY S/A,ON      NM,1229288838,3.934,,
2026-06-04,IBSD,IBSD,DIRR3,DIRECIONAL,ON      NM,3122578062,4.217,,
2026-06-04,IBSD,IBSD,GOAU4,GERDAU MET,PN      N1,5156606874,5.788,,
2026-06-04,IBSD,IBSD,ISAE4,ISA ENERGIA,PN      N1,1774129556,5.239,,
2026-06-04,IBSD,IBSD,ITSA4,ITAUSA,PN  EJ  N1,3833307725,5.248,,
2026-06-04,IBSD,IBSD,POMO4,MARCOPOLO,PN      N2,7039102787,4.382,,
2026-06-04,IBSD,IBSD,MBRF3,MARFRIG,ON      NM,2444476759,4.192,,
